participant_id,participant_name
B00126,FOREGROUND SECURITIES CO
B01585,SINO GRADE SECURITIES LTD
C00080,TRADINGGURU.COM SECURITIES LTD
B01995,GARY CHENG SECURITIES LTD
B02131,DIFFER FINANCIAL AND SECURITIES LTD
B01926,BIG BAY SECURITIES (HK) LTD
B01148,CHINA MERCHANTS SECURITIES (HK) CO LTD
B01152,YU ON SECURITIES CO LTD
B01171,PROMISING SECURITIES CO
B02084,CHINA ON SECURITIES LTD
C00018,HANG SENG BANK LTD
B01140,MPI SECURITIES (ASIA) LTD
B01537,AMSTEEL SECURITIES (H.K.) LTD
B00487,CHUNG HSIN & CO
B01209,MASON SECURITIES LTD
B01866,ICBC INTERNATIONAL SECURITIES LTD
B01755,T G SECURITIES LTD
B01572,ALEXANDRA STOCK CO LTD
B01262,RICOFULL SECURITIES CO
B00682,WING TAK & CO
B01300,OCBC SECURITIES (HONG KONG) LTD
C00070,OVERSEA-CHINESE BANKING CORPORATION LTD
B01368,CORRINGTON SECURITIES & INVESTMENT LTD
B00335,HING LUNG CO
B01160,CHEONG WOON SECURITIES CO
B00013,NORMAN KONG & CO
B01705,HENIK SECURITIES LTD
B01332,NEW GALA SECURITIES CO
B01370,WINSON SECURITIES LTD
B01831,NERICO BROTHERS LTD
B01859,CLC SECURITIES LTD
B01257,HO FUNG SHARES INVESTMENT CO
B01416,VC BROKERAGE LTD
B00127,POWER SECURITIES CO
B01553,GRAND SECURITIES CO LTD
B01692,SMBC NIKKO SECURITIES (HONG KONG) LTD
B00162,FAT LEE CO
B01808,SHINKO SECURITIES (H.K.) LTD
B01513,CONCORD SECURITIES CO LTD
B01486,ASG BROKERAGE LTD
C00088,CHINA MERCHANTS BANK CO LTD
C00050,DBS KWONG ON BANK LTD
B01264,MIB SECURITIES (HONG KONG) LTD
B01961,NOMURA INTERNATIONAL (HONG KONG) LTD
B01143,HAITONG INTERNATIONAL SECURITIES CO LTD
B01933,BRILLIANT NORTON SECURITIES CO LTD
B02170,ZERO2IPO SECURITIES LTD
B02221,AACAT FINTECH LTD
B01655,SANTANDER INVESTMENT SECURITIES (HK) LTD
B01737,DAIWA CAPITAL MARKETS TRADING HONG KONG
B01720,NORMAN KONG SECURITIES CO LTD
B01603,KOFFMAN SECURITIES LTD
B01773,TOYO SECURITIES ASIA LTD
B01081,TAI WAH & CO
B01328,BAN HIN SECURITIES CO LTD
B02051,GRAND VIEW SECURITIES LTD
B00911,KILMOREY SECURITIES CO
C00026,CHONG HING BANK LTD
C00053,AMERICAN EXPRESS BANK LTD
B01410,WINGS SECURITIES (HK) LTD
B02082,YELLOW RIVER SECURITIES LTD
B00129,ZIAR & CO
B00466,TO HOI HUNG CO
B01721,HUA NAN SECURITIES (HK) LTD
B01794,INTERCONTINENT SECURITIES CO LTD
B01554,MACQUARIE EQUITIES (ASIA) LTD
P00015,DELTA ASIA CREDIT LTD
B01675,T. W. SABNANI SECURITIES LTD
B80052,FU YIP SECURITIES & INVESTMENT CO
B01429,NEW JAPAN SECURITIES INTERNATIONAL
B00393,NAN LEE INVESTMENT CO
