standard_index_symbol,standard_stock_symbol
SEHK:HSI,SEHK:00688
SEHK:HSI,SEHK:00823
SEHK:HSI,SEHK:01113
SEHK:HSI,SEHK:02269
SEHK:HSI,SEHK:02359
SEHK:HSI,SEHK:02628
SEHK:H35,SEHK:00001
SEHK:H35,SEHK:00002
SEHK:H35,SEHK:00288
SEHK:H35,SEHK:01113
SEHK:H35,SEHK:01548
SEHK:GEM,SEHK:08047
SEHK:GEM,SEHK:08162
SEHK:GEM,SEHK:08223
SEHK:GEM,SEHK:08275
SEHK:GEM,SEHK:08328
SEHK:GEM,SEHK:08391
SEHK:GEM,SEHK:08395
SEHK:GEM,SEHK:08491
SEHK:GEM,SEHK:08540
SEHK:GEM,SEHK:08603
SEHK:CEI,SEHK:00267
SEHK:CEI,SEHK:00939
SEHK:CEI,SEHK:01810
SEHK:CEI,SEHK:02020
SEHK:CEI,SEHK:02328
SEHK:HCM,SEHK:00123
SEHK:HCM,SEHK:00390
SEHK:HCM,SEHK:00412
SEHK:HCM,SEHK:00656
SEHK:HCM,SEHK:00780
SEHK:HCM,SEHK:00853
SEHK:HCM,SEHK:00916
SEHK:HCM,SEHK:00966
SEHK:HCM,SEHK:01044
SEHK:HCM,SEHK:01060
SEHK:HCM,SEHK:01171
SEHK:HCM,SEHK:01258
SEHK:HCM,SEHK:01313
SEHK:HCM,SEHK:01359
SEHK:HCM,SEHK:01833
SEHK:HCM,SEHK:02005
SEHK:HCM,SEHK:02282
SEHK:HCM,SEHK:02357
SEHK:HCM,SEHK:02556
SEHK:HCM,SEHK:02602
SEHK:HCM,SEHK:02611
SEHK:HCM,SEHK:03933
SEHK:HCM,SEHK:06060
SEHK:HCM,SEHK:06088
SEHK:HCM,SEHK:09896
SEHK:HCM,SEHK:09899
SEHK:HCM,SEHK:09985
SEHK:HCM,SEHK:09992
SEHK:BIO,SEHK:00013
SEHK:BIO,SEHK:01093
SEHK:BIO,SEHK:01177
SEHK:BIO,SEHK:02005
SEHK:BIO,SEHK:02268
SEHK:BIO,SEHK:03692
SEHK:BIO,SEHK:06990
SEHK:BIO,SEHK:09885
SEHK:CCI,SEHK:00135
SEHK:CCI,SEHK:02669
SEHK:HFI,SEHK:01963
SEHK:HFI,SEHK:02016
SEHK:HFI,SEHK:02328
SEHK:HFI,SEHK:03360
SEHK:HFI,SEHK:03618
SEHK:HFI,SEHK:03988
SEHK:HFI,SEHK:06818
SEHK:HCL,SEHK:00004
SEHK:HCL,SEHK:00066
SEHK:HCL,SEHK:00175
SEHK:HCL,SEHK:00388
SEHK:HCL,SEHK:00823
SEHK:HCL,SEHK:01038
SEHK:HCL,SEHK:01088
SEHK:HCL,SEHK:01698
SEHK:HCL,SEHK:06862
SEHK:M25,SEHK:01088
SEHK:M25,SEHK:01810
SEHK:M25,SEHK:02318
SEHK:TEH,SEHK:09961
SEHK:MLH,SEHK:00384
SEHK:MLH,SEHK:00780
SEHK:MLH,SEHK:00868
SEHK:MLH,SEHK:00883
SEHK:MLH,SEHK:00960
SEHK:MLH,SEHK:00992
SEHK:MLH,SEHK:01088
SEHK:MLH,SEHK:01177
SEHK:MLH,SEHK:01211
SEHK:MLH,SEHK:01378
SEHK:MLH,SEHK:01801
SEHK:MLH,SEHK:01898
SEHK:MLH,SEHK:02618
SEHK:MLH,SEHK:02628
SEHK:MLH,SEHK:03888
SEHK:MLH,SEHK:06030
SEHK:MLH,SEHK:06618
SEHK:MLH,SEHK:09863
SEHK:HSI,SEHK:00016
SEHK:HSI,SEHK:00066
SEHK:HSI,SEHK:00267
SEHK:HSI,SEHK:00322
SEHK:HSI,SEHK:00857
SEHK:HSI,SEHK:01044
SEHK:HSI,SEHK:01177
SEHK:HSI,SEHK:09999
SEHK:H35,SEHK:00003
SEHK:H35,SEHK:00066
SEHK:H35,SEHK:00101
SEHK:H35,SEHK:00293
SEHK:GEM,SEHK:08019
SEHK:GEM,SEHK:08037
SEHK:GEM,SEHK:08041
SEHK:GEM,SEHK:08148
SEHK:GEM,SEHK:08203
SEHK:GEM,SEHK:08220
SEHK:GEM,SEHK:08268
SEHK:H35,SEHK:06969
SEHK:GEM,SEHK:08349
SEHK:GEM,SEHK:08375
SEHK:CEI,SEHK:00981
SEHK:CEI,SEHK:03328
SEHK:CEI,SEHK:03988
SEHK:CEI,SEHK:06618
SEHK:HCM,SEHK:00014
SEHK:HCM,SEHK:00168
SEHK:HCM,SEHK:00189
SEHK:HCM,SEHK:00270
SEHK:HCM,SEHK:00467
SEHK:HCM,SEHK:00570
SEHK:HCM,SEHK:00586
SEHK:HCM,SEHK:00631
SEHK:HCM,SEHK:00636
SEHK:HCM,SEHK:00788
SEHK:HCM,SEHK:00839
SEHK:HCM,SEHK:00968
SEHK:HCM,SEHK:01114
SEHK:HCM,SEHK:01797
SEHK:HCM,SEHK:01816
SEHK:HCM,SEHK:01818
SEHK:HCM,SEHK:01882
SEHK:HCM,SEHK:01888
SEHK:HCM,SEHK:01999
SEHK:HCM,SEHK:02338
